4554 3
0 0 0
0.3 0 0
0.6 0 0
0.9 0 0
1.2 0 0
1.5 0 0
1.8 0 0
2.1 0 0
2.4 0 0
2.7 0 0
3 0 0
0 0.409091 0
0.3 0.409091 0
0.6 0.409091 0
0.9 0.409091 0
1.2 0.409091 0
1.5 0.409091 0
1.8 0.409091 0
2.1 0.409091 0
2.4 0.409091 0
2.7 0.409091 0
3 0.409091 0
0 0.818182 0
0.3 0.818182 0
0.6 0.818182 0
0.9 0.818182 0
1.2 0.818182 0
1.5 0.818182 0
1.8 0.818182 0
2.1 0.818182 0
2.4 0.818182 0
2.7 0.818182 0
3 0.818182 0
0 1.22727 0
0.3 1.22727 0
0.6 1.22727 0
0.9 1.22727 0
1.2 1.22727 0
1.5 1.22727 0
1.8 1.22727 0
2.1 1.22727 0
2.4 1.22727 0
2.7 1.22727 0
3 1.22727 0
0 1.63636 0
0.3 1.63636 0
0.6 1.63636 0
0.9 1.63636 0
1.2 1.63636 0
1.5 1.63636 0
1.8 1.63636 0
2.1 1.63636 0
2.4 1.63636 0
2.7 1.63636 0
3 1.63636 0
0 2.04545 0
0.3 2.04545 0
0.6 2.04545 0
0.9 2.04545 0
1.2 2.04545 0
1.5 2.04545 0
1.8 2.04545 0
2.1 2.04545 0
2.4 2.04545 0
2.7 2.04545 0
3 2.04545 0
0 2.45455 0
0.3 2.45455 0
0.6 2.45455 0
0.9 2.45455 0
1.2 2.45455 0
1.5 2.45455 0
1.8 2.45455 0
2.1 2.45455 0
2.4 2.45455 0
2.7 2.45455 0
3 2.45455 0
0 2.86364 0
0.3 2.86364 0
0.6 2.86364 0
0.9 2.86364 0
1.2 2.86364 0
1.5 2.86364 0
1.8 2.86364 0
2.1 2.86364 0
2.4 2.86364 0
2.7 2.86364 0
3 2.86364 0
0 3.27273 0
0.3 3.27273 0
0.6 3.27273 0
0.9 3.27273 0
1.2 3.27273 0
1.5 3.27273 0
1.8 3.27273 0
2.1 3.27273 0
2.4 3.27273 0
2.7 3.27273 0
3 3.27273 0
0 3.68182 0
0.3 3.68182 0
0.6 3.68182 0
0.9 3.68182 0
1.2 3.68182 0
1.5 3.68182 0
1.8 3.68182 0
2.1 3.68182 0
2.4 3.68182 0
2.7 3.68182 0
3 3.68182 0
0 4.09091 0
0.3 4.09091 0
0.6 4.09091 0
0.9 4.09091 0
1.2 4.09091 0
1.5 4.09091 0
1.8 4.09091 0
2.1 4.09091 0
2.4 4.09091 0
2.7 4.09091 0
3 4.09091 0
0 4.5 0
0.3 4.5 0
0.6 4.5 0
0.9 4.5 0
1.2 4.5 0
1.5 4.5 0
1.8 4.5 0
2.1 4.5 0
2.4 4.5 0
2.7 4.5 0
3 4.5 0
0 4.90909 0
0.3 4.90909 0
0.6 4.90909 0
0.9 4.90909 0
1.2 4.90909 0
1.5 4.90909 0
1.8 4.90909 0
2.1 4.90909 0
2.4 4.90909 0
2.7 4.90909 0
3 4.90909 0
0 5.31818 0
0.3 5.31818 0
0.6 5.31818 0
0.9 5.31818 0
1.2 5.31818 0
1.5 5.31818 0
